CarID,CarName,Quantity
1,Toyota Camry,10
2,Honda Civic,5
3,Hyundai Creta,5
4,Tata Harrier,10
5,Toyota Innova,5
6,BMW X1,5
7,BMW X5,10
8,Audi Q7,5
9,Audi R8,10
10,Tata Safari,5
11,Ford Mustang,3
12,Maruti Suzuki Swift,25
13,Kia Sorento,6
14,Hyundai Creta,8
15,Volkswagen Tiguan,7
16,Subaru Forester,5
17,Nissan Altima,9
18,Mercedes-Benz C-Class,4
19,Jaguar F-Pace,3
20,Land Rover Discovery,6
21,Jeep Wrangler,10
22,Tesla Model 3,15
23,Chevrolet Camaro,5
24,Porsche Cayenne,2
25,Dodge Challenger,4
26,Honda Accord,8
27,Hyundai Sonata,7
28,Kia Sportage,6
29,Ford Explorer,9
30,Acura MDX,4
